epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.76,1.08721,3.62606,1.39717,0.03565,0.74563,0.15723,0.1406,0.47278,3.49501,1.14972,7e-05,7e-05,7e-05
2,14.8425,0.88152,3.3922,1.20598,0.04949,0.89164,0.28428,0.26714,0.44971,3.44568,1.03767,0.000148515,0.000148515,0.000148515
3,15.747,0.85342,3.11949,1.17587,0.03625,0.91326,0.25025,0.23054,0.43058,3.43286,0.98447,0.000225446,0.000225446,0.000225446
4,16.6614,0.7075,2.9486,1.11025,0.03507,0.90751,0.27634,0.24838,0.46309,3.41926,1.05287,0.000300793,0.000300793,0.000300793
5,17.5849,0.76626,2.76626,1.14636,0.02165,0.93196,0.3785,0.33937,0.50337,3.326,1.06192,0.000374556,0.000374556,0.000374556
6,18.4707,0.93625,2.50226,1.16649,0.01291,0.91253,0.34287,0.27611,0.64254,3.25936,1.20421,0.000446735,0.000446735,0.000446735
7,19.266,0.84295,2.27961,1.1536,0.01239,0.87942,0.38922,0.30236,0.64765,3.16039,1.1829,0.00051733,0.00051733,0.00051733
8,20.0762,0.99835,2.21809,1.2074,0.70368,0.09534,0.40399,0.31134,0.71116,2.9221,1.24664,0.000586341,0.000586341,0.000586341
9,20.9845,0.94312,2.04833,1.19046,0.49667,0.34857,0.4466,0.32331,0.83745,2.61931,1.473,0.000653768,0.000653768,0.000653768
10,21.7648,0.88046,1.82571,1.16396,0.47241,0.47832,0.45986,0.3475,0.82039,2.10894,1.55688,0.000719611,0.000719611,0.000719611
11,22.5748,1.06649,1.81829,1.16016,0.54041,0.58635,0.61207,0.48445,0.76846,1.9376,1.3982,0.00078387,0.00078387,0.00078387
12,23.3517,0.85353,1.66829,1.12599,0.64051,0.60399,0.62793,0.50718,0.77721,1.89208,1.39798,0.000846545,0.000846545,0.000846545
13,24.1443,0.88829,1.49139,1.11287,0.70803,0.59853,0.66836,0.55699,0.68646,1.53015,1.21735,0.0008812,0.0008812,0.0008812
14,24.9718,0.87927,1.49018,1.13267,0.81662,0.53258,0.67262,0.54065,0.96798,1.9006,1.79714,0.0008713,0.0008713,0.0008713
15,25.7438,0.89258,1.43717,1.12974,0.62343,0.57498,0.65913,0.50403,0.89256,1.90917,1.8641,0.0008614,0.0008614,0.0008614
16,26.5125,0.71185,1.29802,1.05771,0.60488,0.56561,0.63824,0.49836,0.69675,1.79311,1.29529,0.0008515,0.0008515,0.0008515
17,27.323,0.82161,1.34374,1.0653,0.62509,0.72634,0.74702,0.60362,0.66112,1.49117,1.19277,0.0008416,0.0008416,0.0008416
18,28.1259,0.73003,1.21823,1.05752,0.64189,0.70266,0.73379,0.58293,0.73613,1.47457,1.2963,0.0008317,0.0008317,0.0008317
19,28.92,0.73179,1.30437,1.05231,0.62418,0.78787,0.72904,0.58868,0.74825,1.55184,1.26295,0.0008218,0.0008218,0.0008218
20,29.7997,0.74518,1.26368,1.06921,0.76124,0.62041,0.70435,0.57689,0.71471,1.9351,1.29488,0.0008119,0.0008119,0.0008119
21,30.603,0.80824,1.27614,1.09245,0.68268,0.63677,0.72029,0.59077,0.63738,1.97207,1.2071,0.000802,0.000802,0.000802
22,31.4116,0.78871,1.15549,1.07011,0.74252,0.54806,0.66935,0.57593,0.57043,1.90791,1.15504,0.0007921,0.0007921,0.0007921
23,32.2226,0.82316,1.16681,1.10452,0.75917,0.54129,0.64188,0.5308,0.58921,2.00097,1.12545,0.0007822,0.0007822,0.0007822
24,33.0006,0.72595,1.1348,1.06544,0.7622,0.66504,0.73532,0.64748,0.52049,1.57883,1.06041,0.0007723,0.0007723,0.0007723
25,33.788,0.81521,1.12779,1.0775,0.73043,0.7864,0.78993,0.68097,0.51031,1.27182,1.05294,0.0007624,0.0007624,0.0007624
26,34.573,0.63975,1.08278,1.03597,0.7955,0.73652,0.79483,0.6648,0.67645,1.44374,1.20567,0.0007525,0.0007525,0.0007525
27,35.3493,0.76828,1.13293,1.092,0.76361,0.68124,0.78937,0.64728,0.74542,1.52286,1.24114,0.0007426,0.0007426,0.0007426
